class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21
Digit_seven,0.4085141718387604,0.893389880657196,6.782209993616561e-07,0.36910873651504517,0.8907219171524048,-0.018974391743540764,0.3340904712677002,0.8631309866905212,-0.03300418332219124,0.33273380994796753,0.8317459225654602,-0.046520110219717026,0.34972164034843445,0.8018795847892761,-0.05867484584450722,0.323699951171875,0.7679142951965332,-0.028715578839182854,0.2937195301055908,0.705811619758606,-0.042317841202020645,0.2763006389141083,0.666265606880188,-0.04780303314328194,0.2627764344215393,0.632682740688324,-0.05130838230252266,0.353228360414505,0.7498903274536133,-0.0320066399872303,0.3391013443470001,0.6709222793579102,-0.050300221890211105,0.3302251994609833,0.6193341016769409,-0.06139364466071129,0.3257659673690796,0.5766856074333191,-0.06729582697153091,0.3840996325016022,0.7519524097442627,-0.036634039133787155,0.37391990423202515,0.7272994518280029,-0.06275741010904312,0.36300233006477356,0.7719295024871826,-0.06960395723581314,0.3572777211666107,0.8058182001113892,-0.0669814795255661,0.41184860467910767,0.7629915475845337,-0.04218354821205139,0.4111483097076416,0.715401828289032,-0.06277365982532501,0.41027745604515076,0.6841837167739868,-0.06903213262557983,0.4102170467376709,0.6521632671356201,-0.06975818425416946
Digit_seven,0.39950770139694214,0.9005640745162964,7.079666488607472e-07,0.35912764072418213,0.8948793411254883,-0.01982692815363407,0.327143132686615,0.8664748668670654,-0.03637685626745224,0.3240794837474823,0.836664617061615,-0.05247697979211807,0.3361966013908386,0.804219663143158,-0.06695890426635742,0.3151957094669342,0.7724230289459229,-0.03181936964392662,0.2842485010623932,0.7100068926811218,-0.04696111008524895,0.26708000898361206,0.6706227660179138,-0.05338393896818161,0.2535756826400757,0.6355074644088745,-0.05774737894535065,0.3449934422969818,0.7554125189781189,-0.03543639928102493,0.3309151828289032,0.6767198443412781,-0.05674907565116882,0.3232462704181671,0.6225082874298096,-0.06942082941532135,0.3191024661064148,0.5761570930480957,-0.07638639956712723,0.37648361921310425,0.7583708763122559,-0.040164340287446976,0.3624594211578369,0.7310726642608643,-0.06878631561994553,0.35032936930656433,0.7819735407829285,-0.0740513876080513,0.3431261479854584,0.8199340105056763,-0.07001766562461853,0.40469101071357727,0.7706465125083923,-0.04585032910108566,0.40466874837875366,0.7213168144226074,-0.06831811368465424,0.40470102429389954,0.6875094771385193,-0.07451222091913223,0.4038437306880951,0.651141881942749,-0.07506014406681061
Digit_seven,0.3871397078037262,0.9044391512870789,7.312131629078067e-07,0.3469822108745575,0.9004592895507812,-0.020897647365927696,0.31277763843536377,0.8726625442504883,-0.03706702962517738,0.31126272678375244,0.8437115550041199,-0.05249619856476784,0.32588863372802734,0.8106185793876648,-0.06621072441339493,0.30398398637771606,0.7729852199554443,-0.03178993985056877,0.2744423747062683,0.7097353339195251,-0.045542504638433456,0.25776156783103943,0.669839084148407,-0.05051771178841591,0.24472446739673615,0.6355499029159546,-0.053788576275110245,0.3348756730556488,0.7567101716995239,-0.03484836593270302,0.3212588429450989,0.6760921478271484,-0.055061716586351395,0.3144686222076416,0.6224253177642822,-0.0669521689414978,0.31077682971954346,0.5781080722808838,-0.07293808460235596,0.36739200353622437,0.7607186436653137,-0.039188507944345474,0.3540150225162506,0.7356835603713989,-0.06806720793247223,0.34105467796325684,0.787166953086853,-0.0744064673781395,0.3319591283798218,0.8242283463478088,-0.07047900557518005,0.3960398733615875,0.7739827036857605,-0.04436596855521202,0.3955766558647156,0.7257315516471863,-0.06667226552963257,0.3953010141849518,0.6932177543640137,-0.07307665050029755,0.393536239862442,0.6569166779518127,-0.07348707318305969
Digit_seven,0.3816230297088623,0.9107256531715393,7.209475825220579e-07,0.3394724428653717,0.9072731733322144,-0.023059943690896034,0.3045455515384674,0.8809988498687744,-0.04121868312358856,0.3003472089767456,0.8516588807106018,-0.05851893499493599,0.3167581260204315,0.8177368640899658,-0.07373503595590591,0.2971663773059845,0.7768247127532959,-0.032526154071092606,0.2670091390609741,0.7123164534568787,-0.0477103516459465,0.2505810856819153,0.6719380021095276,-0.053797684609889984,0.2376481592655182,0.6362949013710022,-0.05792230740189552,0.3273352086544037,0.7592481970787048,-0.03485655412077904,0.3138851225376129,0.6794268488883972,-0.05645652115345001,0.307939350605011,0.6253023743629456,-0.06837251782417297,0.3047389090061188,0.5813442468643188,-0.0744001641869545,0.35927391052246094,0.7617858052253723,-0.0389087051153183,0.343757688999176,0.7370116114616394,-0.0687241330742836,0.33020058274269104,0.7898296117782593,-0.07408054172992706,0.32082822918891907,0.8292436599731445,-0.06953255832195282,0.38760432600975037,0.7739092111587524,-0.04419407621026039,0.3887520432472229,0.7266564965248108,-0.06695741415023804,0.38763177394866943,0.6948366761207581,-0.073504738509655,0.3831963837146759,0.6590472459793091,-0.07424090802669525
Digit_seven,0.3745577335357666,0.9129360914230347,7.479581540792424e-07,0.3338492214679718,0.908499002456665,-0.024432167410850525,0.2992566227912903,0.8819525241851807,-0.043036554008722305,0.29261019825935364,0.8535634875297546,-0.06059430167078972,0.3061743676662445,0.8180840611457825,-0.07579655945301056,0.2895594537258148,0.7780218720436096,-0.03347816690802574,0.25896674394607544,0.7121843695640564,-0.04868600144982338,0.242706298828125,0.6711587309837341,-0.054471198469400406,0.23034590482711792,0.6353261470794678,-0.05846376717090607,0.32059311866760254,0.7599390745162964,-0.03542603179812431,0.30554986000061035,0.6792853474617004,-0.05739828571677208,0.2983751595020294,0.6249552369117737,-0.06948847323656082,0.29468417167663574,0.581550657749176,-0.07564280182123184,0.3536008298397064,0.7627540826797485,-0.03929253667593002,0.3357313573360443,0.7358567714691162,-0.07056310772895813,0.3205563724040985,0.7888683080673218,-0.07713983952999115,0.31073248386383057,0.8284699320793152,-0.07323098182678223,0.3821992576122284,0.7759189009666443,-0.04438579082489014,0.38332629203796387,0.7290201187133789,-0.06972914934158325,0.38171279430389404,0.6962379813194275,-0.07847895473241806,0.37787875533103943,0.6591682434082031,-0.08046764880418777
Digit_seven,0.36762142181396484,0.9131564497947693,7.52473795273545e-07,0.32576560974121094,0.9068778157234192,-0.024123460054397583,0.2913769483566284,0.8793174624443054,-0.04259704798460007,0.28435009717941284,0.8499645590782166,-0.06007376313209534,0.29966408014297485,0.815498411655426,-0.07514328509569168,0.2818411886692047,0.7752248644828796,-0.03273559361696243,0.2518416941165924,0.7094614505767822,-0.04780932515859604,0.23621782660484314,0.6684046983718872,-0.05364882946014404,0.22414329648017883,0.6326628923416138,-0.0576280876994133,0.3123839795589447,0.7581648230552673,-0.0344429649412632,0.2993660867214203,0.6769324541091919,-0.05619833245873451,0.29323679208755493,0.6220239996910095,-0.06786353886127472,0.2903081178665161,0.5784206390380859,-0.07370368391275406,0.3449787199497223,0.7615349292755127,-0.038106054067611694,0.32859793305397034,0.7338030338287354,-0.06875482946634293,0.31355053186416626,0.7861676812171936,-0.07501542568206787,0.30384212732315063,0.8258979320526123,-0.07085666060447693,0.3735913336277008,0.7748370170593262,-0.04302404448390007,0.3757851719856262,0.727576732635498,-0.06767131388187408,0.37518632411956787,0.6950615048408508,-0.07621901482343674,0.37219032645225525,0.6586321592330933,-0.07803758978843689
Digit_seven,0.3613179326057434,0.9126675128936768,7.790446261424222e-07,0.3188350200653076,0.9053044319152832,-0.02323422022163868,0.2847464084625244,0.8761140704154968,-0.04153748229146004,0.276981383562088,0.8474142551422119,-0.05890943482518196,0.2916385531425476,0.8142024874687195,-0.0737982839345932,0.27434054017066956,0.7735461592674255,-0.03322889655828476,0.24525858461856842,0.7058717608451843,-0.04738171771168709,0.23024243116378784,0.6644963622093201,-0.052212465554475784,0.21843074262142181,0.6289002299308777,-0.05550921708345413,0.30565330386161804,0.7583164572715759,-0.03532521426677704,0.29454073309898376,0.675308883190155,-0.05641164258122444,0.28858208656311035,0.6198964715003967,-0.06742222607135773,0.2855915427207947,0.5760331153869629,-0.07291898131370544,0.33833494782447815,0.7628000378608704,-0.03913090378046036,0.3218337297439575,0.7355283498764038,-0.06900224089622498,0.3063215911388397,0.7885127067565918,-0.074791818857193,0.2963806092739105,0.8281664252281189,-0.07052753120660782,0.36668896675109863,0.776578426361084,-0.04410644248127937,0.36956992745399475,0.7272274494171143,-0.06800603121519089,0.3694767653942108,0.6934444308280945,-0.07614672183990479,0.3666538894176483,0.6558069586753845,-0.07787401229143143
Digit_seven,0.35279929637908936,0.915198564529419,7.870145282140584e-07,0.31023263931274414,0.9055370688438416,-0.022312790155410767,0.2772550880908966,0.8737543821334839,-0.03996056318283081,0.272116094827652,0.8443474769592285,-0.05684971436858177,0.28642576932907104,0.8108025193214417,-0.07138823717832565,0.26710423827171326,0.7724605798721313,-0.032429810613393784,0.23838219046592712,0.7037785053253174,-0.045685626566410065,0.22376447916030884,0.6626383662223816,-0.050003599375486374,0.21254509687423706,0.6266926527023315,-0.05321836471557617,0.299006849527359,0.7574976682662964,-0.035029053688049316,0.28871989250183105,0.673218309879303,-0.05514204874634743,0.28356969356536865,0.6175740361213684,-0.06619777530431747,0.28213709592819214,0.5731441974639893,-0.07211454212665558,0.33213770389556885,0.7632690072059631,-0.03922514244914055,0.31752726435661316,0.7329354286193848,-0.06818286329507828,0.3012583255767822,0.7873779535293579,-0.0742146223783493,0.2908913195133209,0.8274321556091309,-0.070578932762146,0.36094874143600464,0.7788046598434448,-0.04456028342247009,0.3647545278072357,0.7289290428161621,-0.06876185536384583,0.3643009066581726,0.6941802501678467,-0.07768847793340683,0.36190998554229736,0.6549957990646362,-0.08008462935686111
Digit_seven,0.345598965883255,0.9149934649467468,7.603460971949971e-07,0.3037029802799225,0.9068574905395508,-0.02180142141878605,0.2685098350048065,0.8745610117912292,-0.03834555670619011,0.2635480761528015,0.8445760607719421,-0.05437218025326729,0.28116071224212646,0.814444363117218,-0.06827577203512192,0.26095902919769287,0.7728045582771301,-0.030094198882579803,0.2329939901828766,0.7043824195861816,-0.04304802790284157,0.21806420385837555,0.6631059050559998,-0.04742692410945892,0.20651870965957642,0.6273635625839233,-0.050568997859954834,0.2919439375400543,0.7579078078269958,-0.03286268934607506,0.28188568353652954,0.6737428307533264,-0.052953097969293594,0.27688053250312805,0.6181297302246094,-0.06421554088592529,0.2752731442451477,0.5738866925239563,-0.07001827657222748,0.3238770663738251,0.7627795338630676,-0.037365175783634186,0.3095894157886505,0.7346415519714355,-0.0666201114654541,0.29521775245666504,0.786876916885376,-0.07323969155550003,0.2861558794975281,0.8253501653671265,-0.06963629275560379,0.35169050097465515,0.7762775421142578,-0.04298228397965431,0.3542090952396393,0.7256221175193787,-0.06631413847208023,0.3559156358242035,0.6900174617767334,-0.07459712773561478,0.3561972677707672,0.6503468155860901,-0.0766671672463417
Digit_seven,0.33929911255836487,0.9131202697753906,7.885071227065055e-07,0.29687413573265076,0.9055019617080688,-0.02252851612865925,0.26222988963127136,0.8751001954078674,-0.04049813374876976,0.25656935572624207,0.8476100564002991,-0.05807913839817047,0.2721027731895447,0.8152369260787964,-0.07344373315572739,0.25521761178970337,0.7723362445831299,-0.032230354845523834,0.22719281911849976,0.7028241157531738,-0.046908602118492126,0.21286273002624512,0.6609711647033691,-0.052506279200315475,0.20164944231510162,0.6239540576934814,-0.0565633699297905,0.28584837913513184,0.7580788135528564,-0.035325393080711365,0.2764657437801361,0.6748110055923462,-0.05747630447149277,0.2714766263961792,0.6183810234069824,-0.06996317207813263,0.2696797847747803,0.5719137191772461,-0.07678963989019394,0.317280113697052,0.7636837363243103,-0.04012693464756012,0.3021172285079956,0.7327629327774048,-0.07068564742803574,0.28664079308509827,0.7873251438140869,-0.0765308067202568,0.27723830938339233,0.827162504196167,-0.07242637127637863,0.34444576501846313,0.7781350612640381,-0.04617002606391907,0.3471827507019043,0.7275891304016113,-0.07081861048936844,0.3490670919418335,0.691710889339447,-0.07913471758365631,0.34950152039527893,0.6511960625648499,-0.08109044283628464
